box_id,img_id,name,intro,note,quality
"431010","0","Skin Trial Chest","Open to get a random skin trial card.","兵团商店宝箱","4"
"420024","420000","Skin Trial Chest - Goro","Open to get a skin trial card of Goro for 1-3 days randomly.","","4"
"420025","420000","Skin Trial Chest - FireKing","Open to get a skin trial card of FireKing for 1-3 days randomly.","","4"
"420026","420000","Skin Trial Chest - Nasha","Open to get a skin trial card of Nasha for 1-3 days randomly.","","4"
"420020","420000","Skin Trial Chest - Li Long","Open to get a skin trial card of Li Long for 1-3 days randomly.","","4"
"420021","420000","Skin Trial Chest - Catherine","Open to get a skin trial card of Catherine for 1-3 days randomly.","","4"
"420022","420000","Skin Trial Chest - Logan","Open to get a skin trial card of Logan for 1-3 days randomly.","","4"
"420023","420000","Skin Trial Chest - Amir","Open to get a skin trial card of Amir for 1-3 days randomly.","","4"
"411002","0","Silver Tier Chest","The reward for the players whose best tier was Silver for last season.","排位结算时，历史最高段位为白银可以获得的奖励","5"
"411003","0","Gold Tier Chest","The reward for the players whose best tier was Gold for last season.","排位结算时，历史最高段位为黄金可以获得的奖励","5"
"411001","0","Bronze Tier Chest","The reward for the players whose best tier was Bronze for last season.","排位结算时，历史最高段位为青铜可以获得的奖励","5"
"411006","0","Legend Tier Chest","The reward for the players whose best tier was Legend for last season.","排位结算时，历史最高段位为王者可以获得的奖励","5"
"411004","0","Platinum Tier Chest","The reward for the players whose best tier was Platinum for last season.","排位结算时，历史最高段位为铂金可以获得的奖励","5"
"411005","0","Diamond Tier Chest","The reward for the players whose best tier was Diamond for last season.","排位结算时，历史最高段位为钻石可以获得的奖励","5"
"431004","0","Hero Trial Chest","Open to get a random hero trial card.","兵团商店宝箱","4"
"431005","0","Hero Trial Chest","Open to get a random hero trial card.","兵团商店宝箱","4"
"431006","0","Hero Trial Chest","Open to get a random hero trial card.","兵团商店宝箱","4"
"431007","0","Skin Trial Chest","Open to get a random skin trial card.","兵团商店宝箱","4"
"431001","400022","Generous Newbie Pack I","Open to get lv.1 component x1, lv.2 component x1 and lv.3 component x1.","","4"
"431002","400022","Generous Newbie Pack II","Open to get lv.1 component x1, lv.2 component x1 and lv.3 component x1.","","5"
"431003","0","Hero Trial Chest","Open to get a random hero trial card.","兵团商店宝箱","4"
"431008","0","Skin Trial Chest","Open to get a random skin trial card.","兵团商店宝箱","4"
"431009","0","Skin Trial Chest","Open to get a random skin trial card.","兵团商店宝箱","4"
"420011","420000","Hero Trial Chest - Amir","Open to get a trial card of Amir for 1-3 days randomly.","","4"
"420010","420000","Hero Trial Chest - Logan","Open to get a trial card of Logan for 1-3 days randomly.","","4"
"420013","420000","Hero Trial Chest - FireKing","Open to get a trial card of FireKing for 1-3 days randomly.","","4"
"420012","420000","Hero Trial Chest - Goro","Open to get a trial card of Goro for 1-3 days randomly.","","4"
"420015","420000","Skin Trial Chest - Gaia","Open to get a skin trial card of Gaia for 1-3 days randomly.","","4"
"420014","420000","Hero Trial Chest - Nasha","Open to get a trial card of Nasha for 1-3 days randomly.","","4"
"420017","420000","Skin Trial Chest - Saisi","Open to get a skin trial card of Saisi for 1-3 days randomly.","","4"
"420016","420000","Skin Trial Chest - Theodore","Open to get a skin trial card of Theodore for 1-3 days randomly.","","4"
"420019","420000","Skin Trial Chest - Fox","Open to get a skin trial card of Fox for 1-3 days randomly.","","4"
"420018","420000","Skin Trial Chest - Joan","Open to get a skin trial card of Joan for 1-3 days randomly.","","4"
"453000","0","Single draw by diamond","Open to get a random lv. 2-4 component","爱买不买","1"
"420008","420000","Hero Trial Chest - Li Long","Open to get a trial card of Li Long for 1-3 days randomly."," ","4"
"420009","420000","Hero Trial Chest - Catherine","Open to get a trial card of Catherine for 1-3 days randomly.","","4"
"420006","420000","Hero Trial Chest - Joan","Open to get a trial card of Joan for 1-3 days randomly.","","4"
"420007","420000","Hero Trial Chest - Fox","Open to get a trial card of Fox for 1-3 days randomly.","","4"
"420004","420000","Hero Trial Chest - Theodore","Open to get a trial card of Theodore for 1-3 days randomly.","","4"
"420005","420000","Hero Trial Chest - Saisi","Open to get a trial card of Saisi for 1-3 days randomly.","","4"
"420002","420000","Skin Trial Chest","Open to get a random Skin Trial Card","","4"
"420003","420000","Hero Trial Chest - Gaia","Open to get a trial card of Gaia for 1-3 days randomly.","","4"
"420001","420000","Hero Trial Chest","Open to get a random Hero Trial Card","","4"
"490076","490076","20 Activity Points Pack","Earn all the rewards in this chest by reaching 20 Activity Points","当活跃度达到30时，就可以领取该宝箱内的所有奖励","1"
"490077","490077","30 Activity Points Pack","Earn all the rewards in this chest by reaching 30 Activity Points","当活跃度达到60时，就可以领取该宝箱内的所有奖励","1"
"490078","490078","40 Activity Points Pack","Earn all the rewards in this chest by reaching 40 Activity Points","当活跃度达到90时，就可以领取该宝箱内的所有奖励","1"
"490079","490079","50 Activity Points Pack","Earn all the rewards in this chest by reaching 50 Activity Points","当活跃度达到120时，就可以领取该宝箱内的所有奖励","1"
"400008","400004","Level 4 Random Component chest","Open to get a random component up to Level 4","里面配置了所有的1级、2级、3级、4级零件各1个","4"
"400009","400005","Level 5 Random Component Chest","Open to get a random component up to Level 5","里面配置了所有的1级、2级、3级、4级、5级零件各1个","5"
"400004","400004","Level 4 Component Chest","Open to get a random Level 4 Component","里面配置了所有的4级零件各1个","4"
"400005","400005","Level 5 Component Chest","Open to get a random Level 5 Component","里面配置了所有的5级零件各1个","5"
"400006","400002","Level 2 Random Component Chest","Open to get a random component up to Level 2","里面配置了所有的1级、2级零件各1个","2"
"400007","400003","Level 3 Random Component Chest","Open to get a random component up to Level 3","里面配置了所有的1级、2级、3级零件各1个","3"
"400000","0","首充奖励","单笔首充满60点券即可获得，打开后可获得里面全部奖品","首充奖励","5"
