id,role,weapon,name,frames,loop
"1","Catherine","Rifles","Rifles_Move_Front","250-274","1"
"2","Catherine","Rifles","Rifles_Move_Back","290-314","1"
"3","Catherine","Rifles","Rifles_Move_Left","330-354","1"
"4","Catherine","Rifles","Rifles_Move_Right","370-394","1"
"5","Catherine","Rifles","Rifles_Move_Left_Front","410-434","1"
"6","Catherine","Rifles","Rifles_Move_Right_Back","450-474","1"
"7","Catherine","Rifles","Rifles_Sturn_Left_90","110-134","0"
"8","Catherine","Rifles","Rifles_Sturn_Left_180","200-230","0"
"9","Catherine","Rifles","Rifles_Sturn_Right_90","70-94","0"
"10","Catherine","Rifles","Rifles_Sturn_Right_180","150-180","0"
"11","Catherine","Rifles","Rifles_Idle","530-562","1"
"12","Catherine","Rifles","Rifles_Idle2","10-46","1"
"13","Catherine","Rifles","Rifles_Leisure","1560-1670","0"
"14","Catherine","Rifles","Rifles_Run","490-514","1"
"15","Catherine","Rifles","Rifles_Switch_Collect","650-666","0"
"16","Catherine","Rifles","Rifles_Switch_Out","700-730","0"
"17","Catherine","Rifles","Rifles_Reload","770-840","0"
"18","Catherine","Rifles","Rifles_Ready","580-600","0"
"19","Catherine","Rifles","Rifles_Attack_1","610-630","0"
"20","Catherine","Rifles","Rifles_Attack_2","640-644","0"
"21","Catherine","Rifles","Rifles_UI_Idle","900-948","1"
"22","Catherine","Rifles","Rifles_UI_Leisure","960-1032","0"
"23","Catherine","Rifles","Rifles_Melee","1100-1130","0"
"24","Catherine","Rifles","Rifles_Skill","1160-1210","0"
"25","Catherine","Rifles","Rifles_Roll_Front","860-880","0"
"26","Catherine","Rifles","Rifles_Hit_Slight","1230-1240","0"
"27","Catherine","Rifles","Rifles_Hit_Heavy","1260-1310","0"
"28","Catherine","Rifles","Rifles_Hit_Fly","1330-1440","0"
"29","Catherine","Rifles","Rifles_Die_1","1480-1525","0"
