level,exp,kill_drop_trigger,skull_effect,kill_exp,kill_drop_exp
"1","0","850024","0","50","0"
"2","100","850024","30002","60","0"
"3","200","850024","30003","70","0"
"4","400","850024","30004","80","30"
"5","600","850024","30005","90","50"
"6","900","850025","30006","100","90"
"7","1200","850025","30007","120","100"
"8","1600","850025","30008","160","120"
"9","2000","850025","30009","200","160"
"10","2500","850025","30010","250","220"
"11","3000","850026","30011","300","300"
"12","3600","850026","30012","360","420"
"13","4200","850026","30013","420","540"
"14","5000","850026","30014","500","660"
"15","5800","850026","30015","580","780"
"16","7000","850026","30016","700","900"
