id,name,img_id,condition_word,classification,unlock_type,unlock_type_parameter,quality
"213000","基础头像框","213000","基础头像框","1","1","1","1"
"213101","初级等级头像框","213101","20级解锁","2","2","20","1"
"213102","中级等级头像框","213102","40级解锁","2","2","40","2"
"213103","高级等级头像框","213103","60级解锁","2","2","60","3"
"213201","传说排位头像框","213201","排位达到传说","3","3","6,0","3"
"213301","电磁女王专属头像框","213301","获得永久电磁女王皮肤","4","4","311102","2"
"213401","首次充值头像框","213401","单次充值达到60点券","4","5","60","1"
"213501","兵团贡献头像框","213501","兵团商店购买","5","6","1000","2"
"213601","初级成就头像框","213601","完成50个成就","6","7","50","1"
"213602","高级成就头像框","213602","完成100个成就","6","7","100","3"
