id,hero_id,skill_pos,skill_id
"1","300000","1","500001"
"2","300000","2","500002"
"3","300000","3","500004"
"4","300000","4","500003"
"5","300001","1","500101"
"6","300001","2","500102"
"7","300001","3","500104"
"8","300001","4","500103"
"9","300002","1","500201"
"10","300002","2","500202"
"11","300002","3","500204"
"12","300002","4","500203"
"13","300003","1","500301"
"14","300003","2","500302"
"15","300003","3","500304"
"16","300003","4","500303"
"17","300003","99","560101"
"18","300004","1","500401"
"19","300004","2","500402"
"20","300004","3","500404"
"21","300004","4","500403"
"22","300004","99","560102"
"23","300005","1","500501"
"24","300005","2","500502"
"25","300005","3","500504"
"26","300005","4","500503"
"27","300006","1","500601"
"28","300006","2","500602"
"29","300006","3","500604"
"30","300006","4","500603"
"31","300007","1","500701"
"32","300007","2","500702"
"33","300007","3","500704"
"34","300007","4","500703"
"35","300008","1","500801"
"36","300008","2","500802"
"37","300008","3","500804"
"38","300008","4","500803"
"39","300009","1","500901"
"40","300009","2","500902"
"41","300009","3","500904"
"42","300009","4","500903"
"43","300009","80","500905"
"44","300010","1","501001"
"45","300010","2","501002"
"46","300010","3","501004"
"47","300010","4","501003"
"48","300010","80","501007"
"49","300011","1","501101"
"50","300011","2","501102"
"51","300011","3","501104"
"52","300011","4","501103"
"53","500101","1","505001"
"54","500101","2","505002"
"55","500101","3","505003"
"56","500101","10","505004"
"57","401101","1","801001"
"58","401101","2","801011"
"59","401101","3","801021"
"60","401101","3","801022"
"61","401101","3","801023"
"62","401101","3","801024"
"63","401101","4","801031"
"64","401101","5","801041"
"65","401101","6","801051"
"66","401102","1","801001"
"67","401102","2","801011"
"68","401102","3","801021"
"69","401102","3","801022"
"70","401102","3","801023"
"71","401102","3","801024"
"72","401102","4","801031"
"73","401102","5","801041"
"74","401102","6","801051"
