id,draw_type,name,cost_type,cost1,cost5,extra_item_type,extra_itme_id,extra_item_amount,box,item_type,item_id,item_amount,drop_weight,is_lucky_item
"101","1","点券夺宝","3","60","270","102","210001","1","5:486001,15:486002,35:486003,65:486004,125:486005","103","300007","1","3","1"
"102","1","点券夺宝","3","60","270","102","210001","1","5:486001,15:486002,35:486003,65:486004,125:486005","103","300010","1","5","0"
"103","1","点券夺宝","3","60","270","102","210001","1","5:486001,15:486002,35:486003,65:486004,125:486005","5","0","80","120","0"
"104","1","点券夺宝","3","60","270","102","210001","1","5:486001,15:486002,35:486003,65:486004,125:486005","201","400004","1","8","0"
"105","1","点券夺宝","3","60","270","102","210001","1","5:486001,15:486002,35:486003,65:486004,125:486005","2","0","48","162","0"
"106","1","点券夺宝","3","60","270","102","210001","1","5:486001,15:486002,35:486003,65:486004,125:486005","102","203090","5","157","0"
"107","1","点券夺宝","3","60","270","102","210001","1","5:486001,15:486002,35:486003,65:486004,125:486005","201","400003","1","76","0"
"108","1","点券夺宝","3","60","270","102","210001","1","5:486001,15:486002,35:486003,65:486004,125:486005","102","204090","5","162","0"
"109","1","点券夺宝","3","60","270","102","210001","1","5:486001,15:486002,35:486003,65:486004,125:486005","1","0","288","139","0"
"110","1","点券夺宝","3","60","270","102","210001","1","5:486001,15:486002,35:486003,65:486004,125:486005","104","310602","1","5","0"
"111","1","点券夺宝","3","60","270","102","210001","1","5:486001,15:486002,35:486003,65:486004,125:486005","5","0","50","150","0"
"112","1","点券夺宝","3","60","270","102","210001","1","5:486001,15:486002,35:486003,65:486004,125:486005","201","400005","1","1","0"
"113","1","点券夺宝","3","60","270","102","210001","1","5:486001,15:486002,35:486003,65:486004,125:486005","103","300005","1","5","0"
"114","1","点券夺宝","3","60","270","102","210001","1","5:486001,15:486002,35:486003,65:486004,125:486005","104","310502","1","7","0"
"201","2","钻石夺宝","2","60","270","102","210001","1","5:486006,12:486007,24:486008,48:486009,72:486010","103","300011","1","3","1"
"202","2","钻石夺宝","2","60","270","102","210001","1","5:486006,12:486007,24:486008,48:486009,72:486010","103","300002","1","1","0"
"203","2","钻石夺宝","2","60","270","102","210001","1","5:486006,12:486007,24:486008,48:486009,72:486010","201","400005","1","1","0"
"204","2","钻石夺宝","2","60","270","102","210001","1","5:486006,12:486007,24:486008,48:486009,72:486010","201","400004","1","20","0"
"205","2","钻石夺宝","2","60","270","102","210001","1","5:486006,12:486007,24:486008,48:486009,72:486010","2","0","48","148","0"
"206","2","钻石夺宝","2","60","270","102","210001","1","5:486006,12:486007,24:486008,48:486009,72:486010","102","201031","1","158","0"
"207","2","钻石夺宝","2","60","270","102","210001","1","5:486006,12:486007,24:486008,48:486009,72:486010","201","400003","1","36","0"
"208","2","钻石夺宝","2","60","270","102","210001","1","5:486006,12:486007,24:486008,48:486009,72:486010","201","400002","1","80","0"
"209","2","钻石夺宝","2","60","270","102","210001","1","5:486006,12:486007,24:486008,48:486009,72:486010","2","0","20","200","0"
"210","2","钻石夺宝","2","60","270","102","210001","1","5:486006,12:486007,24:486008,48:486009,72:486010","102","202031","1","200","0"
"211","2","钻石夺宝","2","60","270","102","210001","1","5:486006,12:486007,24:486008,48:486009,72:486010","201","400001","1","130","0"
"212","2","钻石夺宝","2","60","270","102","210001","1","5:486006,12:486007,24:486008,48:486009,72:486010","1","0","288","10","0"
"213","2","钻石夺宝","2","60","270","102","210001","1","5:486006,12:486007,24:486008,48:486009,72:486010","103","300006","1","8","0"
"214","2","钻石夺宝","2","60","270","102","210001","1","5:486006,12:486007,24:486008,48:486009,72:486010","103","300004","1","5","0"
