id,name,img_id,gun_effect_id,type,dam,pass_dam,crit,fire_spd,box_magazine,accu,recoil,range,reload,weight,armor_pass,ai_hit_rate
"191111","MP5","111010","10071","1","60.0","22.0","6.0","72.0","25.0","67.0","86.0","8.5","1.99","0.0","22.0","95"
"191211","TAR-21","112010","20001","1","83.1","14.0","5.0","70.0","32.0","77.0","61.0","8.4","2.09","0.0","14.0","95"
"191221","F2000","112020","20002","1","79.3","8.0","4.6","76.0","30.0","81.0","58.0","8.6","2.06","0.0","8.0","95"
"191311","AK47","113010","10011","1","96.0","32.0","5.0","42.0","30.0","75.0","32.0","9.4","2.0","0.0","32.0","95"
"191321","M4A1","113020","20003","1","83.1","10.0","5.0","72.0","30.0","80.0","55.0","9.6","2.01","0.0","10.0","95"
"191331","ACR","113030","20004","1","88.6","18.0","4.6","68.0","30.0","79.0","44.0","9.4","1.8","0.0","18.0","95"
"191341","AUG","113040","20005","1","88.8","10.0","4.6","66.0","32.0","78.0","64.0","9.4","2.31","0.0","10.0","95"
"191411","SCAR-S","114010","20006","1","93.0","25.0","5.0","54.0","20.0","81.0","68.0","10.4","2.2","0.0","25.0","95"
"192111","M60","121010","10061","2","65.0","20.0","12.0","60.0","60.0","58.0","55.0","8.2","3.5","0.0","20.0","95"
"192211","RPD","122010","20007","2","74.8","14.0","3.8","68.0","60.0","65.0","24.0","8.6","3.96","0.0","14.0","95"
"192311","M249","123010","10091","2","64.0","25.0","5.0","62.0","60.0","66.0","42.0","10.5","3.9","0.0","25.0","95"
"192411","加特林","124010","10021","2","40.0","28.0","5.0","82.0","75.0","50.0","24.0","9.0","4.24","0.0","28.0","95"
"193111","AWM","131010","20008","3","267.0","20.0","20.6","10.0","10.0","100.0","0.0","22.0","3.2","0.0","20.0","95"
"193211","SVD","132010","20009","3","186.9","18.0","21.1","25.0","10.0","100.0","0.0","20.0","3.08","0.0","18.0","95"
"193311","PSG-1","133010","10051","3","156.0","30.0","23.0","15.0","15.0","100.0","100.0","15.0","2.67","0.0","30.0","100"
"193411","巴雷特M82A1","134010","10041","3","210.0","40.0","30.0","10.0","10.0","100.0","100.0","16.0","3.64","0.0","40.0","100"
"194111","M1014","141010","20010","4","160.9","62.0","23.8","33.0","7.0","4.0","0.0","7.5","2.1","0.0","62.0","95"
"194211","打击者","142010","20011","4","182.2","60.8","32.1","22.0","12.0","16.0","0.0","7.2","2.24","0.0","60.8","95"
"194311","雷明顿M870","143010","10031","4","142.0","35.0","20.0","16.0","7.0","10.0","100.0","6.2","2.64","0.0","35.0","100"
"194321","气锤","143020","20012","4","193.1","61.6","26.2","30.0","10.0","8.0","0.0","7.7","2.48","0.0","61.6","95"
"194411","AA12","144010","10081","4","74.0","36.0","14.0","32.0","20.0","25.0","100.0","6.5","2.0","0.0","36.0","100"
"195001","银之回响","151010","10101","1","35.0","28.0","25.0","90.0","24.0","80.0","80.0","7.5","1.76","0.0","28.0","95"
"196001","毁灭之焰","161010","10111","5","42.0","0.0","0.0","96.0","100.0","40.0","100.0","6.1","8.0","0.0","0.0","95"
"197001","电磁弩P-0","171010","10121","6","102.0","28.0","23.0","25.0","18.0","90.0","90.0","15.0","2.3","0.0","28.0","100"
"201011","炮塔空武器","0","30002","2","40.0","50.0","0.0","50.0","9999.0","70.0","70.0","10.0","0.0","0.0","50.0","95"
"301311","AK47","113010","10011","1","96.0","32.0","5.0","42.0","30.0","75.0","32.0","9.4","2.0","0.0","32.0","95"
"302411","加特林","124010","10021","2","40.0","28.0","5.0","82.0","75.0","50.0","24.0","9.0","4.24","0.0","28.0","95"
"304311","雷明顿M870","143010","10031","4","142.0","35.0","20.0","16.0","7.0","10.0","100.0","6.2","2.64","0.0","35.0","100"
