id,type,weapon_animation,name,intro,playspeed
"1","1","1","Move_Front","前走移动","1.0"
"2","1","1","Move_Back","后走移动","1.0"
"3","1","1","Move_Left","左走移动","1.0"
"4","1","1","Move_Right","右走移动","1.0"
"5","1","1","Move_Left_Front","左前移动","1.0"
"6","1","1","Move_Right_Back","右后移动","1.0"
"7","1","1","Sturn_Left_90","原地左转身_90度","1.0"
"8","1","1","Sturn_Left_180","原地左转身_180度","1.0"
"9","1","1","Sturn_Right_90","原地右转身_90度","1.0"
"10","1","1","Sturn_Right_180","原地右转身_180度","1.0"
"11","1","1","Idle","持枪待机","1.0"
"12","1","1","Idle2","端枪待机","1.0"
"13","1","1","Run","跑步","1.0"
"14","1","1","Switch_Out","换枪_出枪","1.0"
"15","1","1","Reload","填弹动作","1.0"
"16","1","1","Ready","准备动作","1.0"
"17","1","1","Attack_1","攻击动作","1.0"
"18","1","1","Attack_2","持续攻击动作","1.0"
"19","1","1","Battle_Leisure","战斗休闲动作","1.0"
"20","1","1","Melee","近战动作","1.0"
"21","1","1","Roll_Front","前翻滚","1.0"
"22","1","1","Hit_Slight","轻微受击","1.0"
"23","1","1","Hit_Heavy","重度受击","1.0"
"24","1","1","Hit_Fly","击飞受击","1.0"
"25","1","1","Die_1","死亡动作","1.0"
"100","1","0","Skill_Grenade","手雷技能","1.0"
"120","1","0","Skill_Dart","突进","1.0"
"121","1","0","Skill_Explode","自爆","1.0"
"122","1","0","Start","启动","1.0"
"123","1","0","Free","空闲","1.0"
"200","1","0","C4_Install","安装过程循环","1.0"
"201","1","0","C4_down","放下过程","1.0"
"202","1","0","C4_Disable_down","拆弹_蹲下过程","1.0"
"203","1","0","C4_Disable_loop","拆弹_蹲着输入密码的循环","1.0"
"204","1","0","C4_Disable_down","拆弹_起身过程","-1.0"
"1010","1","0","Skill_1","技能1","1.0"
"1011","1","0","Skill_1_2","技能1_连招2","1.0"
"1020","1","0","Skill_2","技能2","1.0"
"1021","1","0","Skill_2_2","技能2_连招2","1.0"
"1030","1","0","Skill_3","技能3_翻滚","1.0"
"1031","1","0","Skill_3_2","技能3_连招2","1.0"
"2100","1","0","UI_Idle","UI待机","1.0"
"2200","1","0","UI_Leisure","UI展示动作","1.0"
"3001","3","0","Idle_Normal","BOSS的普通待机","1.0"
"3002","3","0","Attack_1","对敌人进行的普通攻击1","1.0"
"3003","3","0","Attack_2","对敌人进行的普通攻击2","1.0"
"3004","3","0","Skill_1","对敌人进行的技能攻击","1.0"
"3005","3","0","Skill_2","全屏式技能攻击","1.0"
"3006","3","0","Skill_3","对敌人的单点攻击","1.0"
"3007","3","0","Die_Normal","怪物死亡时的动作","1.0"
"3008","3","0","Brush_Normal","怪物出场时的动作。","1.0"
