rank_index,rank_lv,rank_sub_lv,name,rank_lv_name,icon,image,rank_star,extra_star_series
"1","1","3","青铜Ⅲ","青铜","1000","1100","3","3"
"2","1","2","青铜Ⅱ","青铜","1000","1100","3","3"
"3","1","1","青铜Ⅰ","青铜","1000","1100","3","3"
"4","2","3","白银Ⅲ","白银","2000","2100","3","3"
"5","2","2","白银Ⅱ","白银","2000","2100","3","3"
"6","2","1","白银Ⅰ","白银","2000","2100","3","3"
"7","3","4","黄金Ⅳ","黄金","3000","3100","4","4"
"8","3","3","黄金Ⅲ","黄金","3000","3100","4","4"
"9","3","2","黄金Ⅱ","黄金","3000","3100","4","4"
"10","3","1","黄金Ⅰ","黄金","3000","3100","4","4"
"11","4","5","铂金Ⅴ","铂金","4000","4100","4","5"
"12","4","4","铂金Ⅳ","铂金","4000","4100","4","5"
"13","4","3","铂金Ⅲ","铂金","4000","4100","4","5"
"14","4","2","铂金Ⅱ","铂金","4000","4100","4","5"
"15","4","1","铂金Ⅰ","铂金","4000","4100","4","5"
"16","5","5","钻石Ⅴ","钻石","5000","5100","5","0"
"17","5","4","钻石Ⅳ","钻石","5000","5100","5","0"
"18","5","3","钻石Ⅲ","钻石","5000","5100","5","0"
"19","5","2","钻石Ⅱ","钻石","5000","5100","5","0"
"20","5","1","钻石Ⅰ","钻石","5000","5100","5","0"
"21","6","0","传说","传说","6000","6100","99999","0"
"22","7","0","永恒传说","传说","7000","6100","99999","0"
