id,season,rank_lv,box_id,box_amount
"1","1","1","411001","1"
"2","1","2","411002","1"
"3","1","3","411003","1"
"4","1","4","411004","1"
"5","1","5","411005","1"
"6","1","6","411006","1"
"7","2","1","411001","1"
"8","2","2","411002","1"
"9","2","3","411003","1"
"10","2","4","411004","1"
"11","2","5","411005","1"
"12","2","6","411006","1"
"13","3","1","411001","1"
"14","3","2","411002","1"
"15","3","3","411003","1"
"16","3","4","411004","1"
"17","3","5","411005","1"
"18","3","6","411006","1"
"19","4","1","411001","1"
"20","4","2","411002","1"
"21","4","3","411003","1"
"22","4","4","411004","1"
"23","4","5","411005","1"
"24","4","6","411006","1"
"25","5","1","411001","1"
"26","5","2","411002","1"
"27","5","3","411003","1"
"28","5","4","411004","1"
"29","5","5","411005","1"
"30","5","6","411006","1"
"31","6","1","411001","1"
"32","6","2","411002","1"
"33","6","3","411003","1"
"34","6","4","411004","1"
"35","6","5","411005","1"
"36","6","6","411006","1"
"37","7","1","411001","1"
"38","7","2","411002","1"
"39","7","3","411003","1"
"40","7","4","411004","1"
"41","7","5","411005","1"
"42","7","6","411006","1"
"43","8","1","411001","1"
"44","8","2","411002","1"
"45","8","3","411003","1"
"46","8","4","411004","1"
"47","8","5","411005","1"
"48","8","6","411006","1"
"49","9","1","411001","1"
"50","9","2","411002","1"
"51","9","3","411003","1"
"52","9","4","411004","1"
"53","9","5","411005","1"
"54","9","6","411006","1"
"55","10","1","411001","1"
"56","10","2","411002","1"
"57","10","3","411003","1"
"58","10","4","411004","1"
"59","10","5","411005","1"
"60","10","6","411006","1"
"61","11","1","411001","1"
"62","11","2","411002","1"
"63","11","3","411003","1"
"64","11","4","411004","1"
"65","11","5","411005","1"
"66","11","6","411006","1"
