id,shop_type,name,sub_type,sub_name,goods_type,goods_id,img_id,quality,price_type,price,min,max,b_limited_times,b_limited_time,used_time,need_vip_lv,is_new,sell_way
"11021","1","英雄商店","0","0","103","300002","310201","0","1","13888","1","1","1","0","0","0","0","0"
"11022","1","英雄商店","0","0","103","300002","310201","0","3","488","1","1","1","0","0","0","0","0"
"11031","1","英雄商店","0","0","103","300003","310301","0","1","8888","1","1","1","0","0","0","0","3"
"11041","1","英雄商店","0","0","103","300004","310401","0","1","5888","1","1","1","0","0","0","0","0"
"11042","1","英雄商店","0","0","103","300004","310401","0","3","288","1","1","1","0","0","0","0","0"
"11051","1","英雄商店","0","0","103","300005","310501","0","1","18888","1","1","1","0","0","0","0","0"
"11052","1","英雄商店","0","0","103","300005","310501","0","3","688","1","1","1","0","0","0","0","0"
"11061","1","英雄商店","0","0","103","300006","310601","0","1","8888","1","1","1","0","0","0","0","0"
"11062","1","英雄商店","0","0","103","300006","310601","0","2","388","1","1","1","0","0","0","0","0"
"11071","1","英雄商店","0","0","103","300007","310701","0","1","13888","1","1","1","0","0","0","0","4"
"11081","1","英雄商店","0","0","103","300008","310801","0","1","8888","1","1","1","0","0","0","0","0"
"11082","1","英雄商店","0","0","103","300008","310801","0","2","388","1","1","1","0","0","0","0","0"
"11091","1","英雄商店","0","0","103","300009","310901","0","1","13888","1","1","1","0","0","0","0","1"
"11101","1","英雄商店","0","0","103","300010","311001","0","1","18888","1","1","1","0","0","0","0","0"
"11102","1","英雄商店","0","0","103","300010","311001","0","3","688","1","1","1","0","0","0","0","0"
"11111","1","英雄商店","0","0","103","300011","311101","0","3","28888","1","1","1","0","0","0","0","6"
"12001","2","皮肤商店","0","0","104","310002","310002","0","3","1300","1","1","1","0","0","0","0","3"
"12002","2","皮肤商店","0","0","104","310102","310102","0","3","888","1","1","1","0","0","0","0","0"
"12003","2","皮肤商店","0","0","104","310202","310202","0","3","288","1","1","1","0","0","0","0","0"
"12004","2","皮肤商店","0","0","104","310302","310302","0","3","288","1","1","1","0","0","0","0","0"
"12005","2","皮肤商店","0","0","104","310402","310402","0","3","288","1","1","1","0","0","0","0","0"
"12006","2","皮肤商店","0","0","104","310502","310502","0","3","888","1","1","1","0","0","0","0","0"
"12007","2","皮肤商店","0","0","104","310602","310602","0","3","288","1","1","1","0","0","0","0","0"
"12008","2","皮肤商店","0","0","104","310702","310702","0","3","288","1","1","1","0","0","0","0","0"
"12009","2","皮肤商店","0","0","104","310802","310802","0","3","388","1","1","1","0","0","0","0","0"
"12010","2","皮肤商店","0","0","104","310902","310902","0","3","288","1","1","1","0","0","0","0","0"
"12011","2","皮肤商店","0","0","104","311002","311002","0","3","288","1","1","1","0","0","0","0","0"
"12012","2","皮肤商店","0","0","104","311102","311102","0","3","288","1","1","1","0","0","0","0","0"
"15001","5","日常所需","0","0","102","209001","209001","4","3","90","1","1","0","0","0","0","0","0"
"15002","5","日常所需","0","0","102","273101","273101","4","3","60","1","1","1","0","0","0","0","0"
"15003","5","日常所需","0","0","102","274201","274201","4","3","120","1","1","1","0","0","0","0","0"
"15004","5","日常所需","0","0","102","275301","275301","4","3","320","1","1","1","0","0","0","0","0"
"15005","5","日常所需","0","0","201","431001","400022","4","3","168","1","1","1","0","0","0","0","0"
"15006","5","日常所需","0","0","201","431002","400022","4","3","168","1","1","1","0","0","0","0","0"
"15007","5","日常所需","0","0","201","432001","400024","4","3","300","1","1","1","0","0","0","0","0"
"15008","5","日常所需","0","0","201","433001","400021","4","3","20","1","1","0","0","0","0","0","0"
"15009","5","日常所需","0","0","201","433002","400021","4","3","20","1","1","0","0","0","0","0","0"
"15010","5","日常所需","0","0","201","433003","400021","4","3","20","1","1","0","0","0","0","0","0"
"15011","5","日常所需","0","0","201","433004","400021","4","3","20","1","1","0","0","0","0","0","0"
"15012","5","日常所需","0","0","201","434001","400023","4","3","20","1","1","0","0","0","0","0","0"
"15013","5","日常所需","0","0","201","434002","400023","4","3","20","1","1","0","0","0","0","0","0"
"15014","5","日常所需","0","0","201","434003","400023","4","3","20","1","1","0","0","0","0","0","0"
"15015","5","日常所需","0","0","201","434004","400023","4","3","20","1","1","0","0","0","0","0","0"
"16001","61","兵团商店","0","道具","201","400003","0","1","4","1000","1","1","1","0","0","0","0","0"
"16002","61","兵团商店","0","道具","201","400004","0","2","4","4000","1","1","1","0","0","0","0","0"
"16003","61","兵团商店","0","道具","201","431003","0","3","4","1000","1","1","1","0","0","0","0","0"
"16004","61","兵团商店","0","道具","201","431004","0","1","4","1000","1","1","1","0","0","0","0","0"
"16005","61","兵团商店","0","道具","201","431005","0","2","4","4000","1","1","1","0","0","0","0","0"
"16006","61","兵团商店","0","道具","201","431006","0","3","4","1000","1","1","1","0","0","0","0","0"
"16007","61","兵团商店","0","道具","201","431007","0","4","4","1000","1","1","1","0","0","0","0","0"
"16008","61","兵团商店","0","道具","201","400002","0","0","4","500","1","1","1","0","0","0","0","0"
"16009","62","兵团商店","0","头像框","106","213501","213501","0","4","4000","1","1","1","0","0","0","0","0"
"17001","7","零件","0","0","102","271101","271101","1","5","10","1","1","0","0","0","0","0","0"
"17002","7","零件","0","0","102","271102","271102","1","5","10","1","1","0","0","0","0","0","0"
"17003","7","零件","0","0","102","271103","271103","1","5","10","1","1","0","0","0","0","0","0"
"17004","7","零件","0","0","102","271104","271103","1","5","10","1","1","0","0","0","0","0","0"
"17005","7","零件","0","0","102","271201","271201","1","5","10","1","1","0","0","0","0","0","0"
"17006","7","零件","0","0","102","271202","271202","1","5","10","1","1","0","0","0","0","0","0"
"17007","7","零件","0","0","102","271203","271203","1","5","10","1","1","0","0","0","0","0","0"
"17008","7","零件","0","0","102","271204","271204","1","5","10","1","1","0","0","0","0","0","0"
"17009","7","零件","0","0","102","271301","271301","1","5","10","1","1","0","0","0","0","0","0"
"17010","7","零件","0","0","102","271302","271301","1","5","10","1","1","0","0","0","0","0","0"
"17011","7","零件","0","0","102","271303","271302","1","5","10","1","1","0","0","0","0","0","0"
"17012","7","零件","0","0","102","271304","271303","1","5","10","1","1","0","0","0","0","0","0"
"17013","7","零件","0","0","102","272101","272101","2","5","25","1","1","0","0","0","0","0","0"
"17014","7","零件","0","0","102","272102","272102","2","5","25","1","1","0","0","0","0","0","0"
"17015","7","零件","0","0","102","272103","272102","2","5","25","1","1","0","0","0","0","0","0"
"17016","7","零件","0","0","102","272104","272103","2","5","25","1","1","0","0","0","0","0","0"
"17017","7","零件","0","0","102","272105","272103","2","5","25","1","1","0","0","0","0","0","0"
"17018","7","零件","0","0","102","272201","272201","2","5","25","1","1","0","0","0","0","0","0"
"17019","7","零件","0","0","102","272202","272202","2","5","25","1","1","0","0","0","0","0","0"
"17020","7","零件","0","0","102","272203","272202","2","5","25","1","1","0","0","0","0","0","0"
"17021","7","零件","0","0","102","272204","272203","2","5","25","1","1","0","0","0","0","0","0"
"17022","7","零件","0","0","102","272205","272204","2","5","25","1","1","0","0","0","0","0","0"
"17023","7","零件","0","0","102","272301","272301","2","5","25","1","1","0","0","0","0","0","0"
"17024","7","零件","0","0","102","272302","272301","2","5","25","1","1","0","0","0","0","0","0"
"17025","7","零件","0","0","102","272303","272302","2","5","25","1","1","0","0","0","0","0","0"
"17026","7","零件","0","0","102","272304","272302","2","5","25","1","1","0","0","0","0","0","0"
"17027","7","零件","0","0","102","272305","272303","2","5","25","1","1","0","0","0","0","0","0"
"17028","7","零件","0","0","102","273101","273101","3","5","100","1","1","0","0","0","0","0","0"
"17029","7","零件","0","0","102","273103","273102","3","5","100","1","1","0","0","0","0","0","0"
