id,skill_id,lv,name,intro,intro2,intro3,img_id,skill_performance_id,type,talent_id,skill_action_id,group_id,group_step,next_time,charge,category,arng,target_camp,special_type,special_type_param,cd_time,var_1_effect,var_2_effect,var_3_effect,effect_delay,effect_times,mutieffect_time,target_range,target_angle,target_area,target_width,run_away_del,deviation_x,deviation_z,deviation_rotation,group_auto
"1","500000","1","近战","","","","0","0","1","0","0","0","0","0","0","2","4","2","0","0","1000","700000","0","0","100","1","0","2.0","0.0","1.0","0.0","0","0.0","0.0","0.0","0"
"2","500001","1","疯狂扫射","盖亚手持步枪朝前方进行一通乱射，覆盖面极广，射击时候可以控制朝向。","[DD9B0F]对前方扇形目标进行疯狂扫射，每发造成40伤害。[-]","","500001","10110","2","0","10101","0","0","0","0","4","9","2","0","0","10000","700001","0","0","0","36","50","20.0","45.0","0.0","0.1","0","0.0","0.0","0.0","0"
"3","500001","2","疯狂扫射","盖亚手持步枪朝前方进行一通乱射，覆盖面极广，射击时候可以控制朝向。","[DD9B0F]对前方扇形目标进行疯狂扫射，每发造成48伤害。[-]","","500001","10110","2","0","10101","0","0","0","0","4","9","2","0","0","10000","700001","0","0","0","36","50","20.0","45.0","0.0","0.1","0","0.0","0.0","0.0","0"
"4","500001","3","疯狂扫射","盖亚手持步枪朝前方进行一通乱射，覆盖面极广，射击时候可以控制朝向。","[DD9B0F]对前方扇形目标进行疯狂扫射，每发造成56伤害。[-]","","500001","10110","2","0","10101","0","0","0","0","4","9","2","0","0","10000","700001","0","0","0","36","50","20.0","45.0","0.0","0.1","0","0.0","0.0","0.0","0"
"5","500001","4","疯狂扫射","盖亚手持步枪朝前方进行一通乱射，覆盖面极广，射击时候可以控制朝向。","[DD9B0F]对前方扇形目标进行疯狂扫射，每发造成64伤害。[-]","","500001","10110","2","0","10101","0","0","0","0","4","9","2","0","0","10000","700001","0","0","0","36","50","20.0","45.0","0.0","0.1","0","0.0","0.0","0.0","0"
"6","500002","1","护盾装置","朝目标区域放置一个护盾生成器，间歇性地给周围目标产生护盾","[DD9B0F]给范围内的友军施加一个能吸收96点伤害的护盾。[-]","","500002","10120","2","0","10102","0","0","0","0","3","1","1","0","0","15000","700002","0","0","400","1","0","7.0","0.0","4.0","0.0","0","0.0","0.0","0.0","0"
"7","500002","2","护盾装置","朝目标区域放置一个护盾生成器，间歇性地给周围目标产生护盾","[DD9B0F]给范围内的友军施加一个能吸收116点伤害的护盾。[-]","","500002","10120","2","0","10102","0","0","0","0","3","1","1","0","0","15000","700002","0","0","400","1","0","7.0","0.0","4.0","0.0","0","0.0","0.0","0.0","0"
"8","500002","3","护盾装置","朝目标区域放置一个护盾生成器，间歇性地给周围目标产生护盾","[DD9B0F]给范围内的友军施加一个能吸收136点伤害的护盾。[-]","","500002","10120","2","0","10102","0","0","0","0","3","1","1","0","0","15000","700002","0","0","400","1","0","7.0","0.0","4.0","0.0","0","0.0","0.0","0.0","0"
"9","500002","4","护盾装置","朝目标区域放置一个护盾生成器，间歇性地给周围目标产生护盾","[DD9B0F]给范围内的友军施加一个能吸收156点伤害的护盾。[-]","","500002","10120","2","0","10102","0","0","0","0","3","1","1","0","0","15000","700002","0","0","400","1","0","7.0","0.0","4.0","0.0","0","0.0","0.0","0.0","0"
"10","500003","1","愈战愈勇","受到攻击时有几率触发加速","[DD9B0F]提升移动速度5%，持续3秒[-]","","500003","0","0","530009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.0","0.0","0.0","0"
