id,type,name,performance_type_1,performance_1,performance_loop_1,performance_type_2,performance_2,performance_loop_2,performance_type_3,performance_3,performance_loop_3,performance_type_4,performance_4,performance_loop_4,separate,cast_performance,projectile,delay_performance,delay_time,weapon_performance,warning_performace
"10110","1","盖亚技能1_扫射","1","101000","0","0","0","0","0","0","0","0","0","0","0","101010","10110","0","0","0","0"
"10111","1","盖亚技能1_扫射","1","101000","0","0","0","0","0","0","0","0","0","0","0","101011","10111","0","0","0","0"
"10120","1","盖亚技能2_护盾装置","1","101050","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10121","1","盖亚技能2_护盾装置","1","101051","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10130","1","盖亚护盾装置_释放","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10131","1","盖亚护盾装置_释放","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10140","1","盖亚技能3_战术翻滚","1","101100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10141","1","盖亚技能3_战术翻滚","1","101100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10210","1","壮汉技能1_护盾","1","102010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0"
"10211","1","壮汉技能1_护盾","1","102011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0"
"10220","1","壮汉技能1_护盾爆炸","1","102030","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0"
"10221","1","壮汉技能1_护盾爆炸","1","102031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0"
"10230","1","壮汉技能2_阵壁","1","102050","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10231","1","壮汉技能2_阵壁","1","102051","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10240","1","壮汉技能3_野蛮冲撞","1","102080","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10241","1","壮汉技能3_野蛮冲撞","1","102081","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10310","1","逗比技能1_死亡音律","1","103010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10311","1","逗比技能1_死亡音律","1","103010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10320","1","逗比技能2_喷气冲击","1","103030","0","0","0","0","0","0","0","0","0","0","0","103040","0","0","0","0","0"
"10321","1","逗比技能2_喷气冲击","1","103031","0","0","0","0","0","0","0","0","0","0","0","103041","0","0","0","0","0"
"10330","1","逗比技能3_滑铲","1","103060","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10331","1","逗比技能3_滑铲","1","103060","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10420","1","女主技能1_定时震荡","1","104030","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10421","1","女主技能1_定时震荡","1","104030","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10430","1","女主技能2_传送装置","1","104070","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10431","1","女主技能2_传送装置","1","104071","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10440","1","女主技能2_传送","1","104090","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10441","1","女主技能2_传送","1","104091","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10450","1","女主技能3_翻滚","1","104110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10490","1","女主射击","1","33000","0","0","0","0","0","0","0","0","0","0","0","0","1040","0","0","0","0"
"10491","1","女主射击","1","33000","0","0","0","0","0","0","0","0","0","0","0","0","1041","0","0","0","0"
"10510","1","护士技能1_治疗","1","105010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0"
"10511","1","护士技能1_治疗","1","105011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0"
"10520","1","护士技能2_睡眠针","1","105030","0","0","0","0","0","0","0","0","0","0","0","0","10520","0","0","-1","0"
"10521","1","护士技能2_睡眠针","1","105030","0","0","0","0","0","0","0","0","0","0","0","0","10520","0","0","-1","0"
"10530","1","护士技能3_兴奋剂","1","105070","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10531","1","护士技能3_兴奋剂","1","105070","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10590","1","护士射击","1","33000","0","0","0","0","0","0","0","0","0","0","0","0","1050","0","0","0","0"
"10591","1","护士射击","1","33000","0","0","0","0","0","0","0","0","0","0","0","0","1051","0","0","0","0"
"10610","1","李龙技能1_刀光闪烁","1","106010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","106610","0"
"10611","1","李龙技能1_刀光闪烁","1","106011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","106610","0"
"10620","1","李龙技能2_剑气纵横","1","106050","0","0","0","0","0","0","0","0","0","0","0","0","10620","0","0","106610","0"
"10621","1","李龙技能2_剑气纵横","1","106051","0","0","0","0","0","0","0","0","0","0","0","0","10621","0","0","106610","0"
"10630","1","技能技能1_2","1","106030","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","106610","0"
"10631","1","技能技能1_2","1","106031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","106610","0"
"10640","1","李龙技能3_魅影绝杀","1","106090","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","106610","0"
"10641","1","李龙技能3_魅影绝杀","1","106091","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","106610","0"
"10710","1","凯瑟琳技能1_蜘蛛地雷","1","107010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10711","1","凯瑟琳技能1_蜘蛛地雷","1","107011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10720","1","凯瑟琳技能2_炮塔","1","107040","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10721","1","凯瑟琳技能2_炮塔","1","107041","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10730","1","地雷爆炸_释放","1","107020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10731","1","地雷爆炸_释放","1","107021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10740","1","凯瑟琳技能3_躲猫猫","1","107110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10741","1","凯瑟琳技能3_躲猫猫","1","107110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10810","1","比尔技能1_火箭筒","1","108010","0","0","0","0","0","0","0","0","0","0","0","0","10810","108030","0","-1","0"
"10811","1","比尔技能1_火箭筒","1","108010","0","0","0","0","0","0","0","0","0","0","0","0","10811","108031","0","-1","0"
"10820","1","比尔技能2_抓钩","1","108050","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10821","1","比尔技能2_抓钩","1","108050","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10830","1","比尔技能3_突进","1","108080","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10831","1","比尔技能3_突进","1","108080","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10910","1","阿拉伯技能1_沙暴","1","109000","0","0","0","0","0","0","0","0","0","0","0","0","10910","0","0","0","0"
"10911","1","阿拉伯技能1_沙暴","1","109001","0","0","0","0","0","0","0","0","0","0","0","0","10911","0","0","0","0"
"10920","1","阿拉伯技能2_引力弹","1","109040","0","0","0","0","0","0","0","0","0","0","0","0","10920","109060","0","0","0"
"10921","1","阿拉伯技能2_引力弹","1","109041","0","0","0","0","0","0","0","0","0","0","0","0","10921","109061","0","0","0"
"10930","1","沙暴释放","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10931","1","沙暴释放","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10940","1","引力弹释放","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10941","1","引力弹释放","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10950","1","阿拉伯技能3_信仰之跃","1","109080","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10951","1","阿拉伯技能3_信仰之跃","1","109081","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10960","1","阿拉伯技能3_2","1","109610","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10961","1","阿拉伯技能3_2","1","109610","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11010","1","迪亚比技能1_穿梭直射","1","110000","1","0","0","0","0","0","0","0","0","0","1","110020","11010","0","0","0","0"
"11011","1","迪亚比技能1_穿梭直射","1","110000","1","0","0","0","0","0","0","0","0","0","1","110021","11011","0","0","0","0"
"11020","1","迪亚比技能2_空中扫射","1","110050","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11021","1","迪亚比技能2_空中扫射","1","110051","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11030","1","迪亚比技能3_忍步","1","110070","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11031","1","迪亚比技能3_忍步","1","110071","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11110","1","火王技能1_毁灭之墙","1","111010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11111","1","火王技能1_毁灭之墙","1","111011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
