id,type,front_id,icon_id,name,intro,condition1_type,para1_1,para1_2,para1_3,condition2_type,para2_1,para2_2,para2_3,condition3_type,para3_1,para3_2,para3_3,reward_coin,reward_exp,reward_stone,box_id,box_amount,reward_activity,star
"920001","2","0","920001","午餐福利","每日中午12:00-14:00可领取大量金币福利","3","0","12","14","0","0","0","0","0","0","0","0","50","0","0","0","1","0","0"
"920002","2","0","920001","晚餐福利","每日晚上18:00-20:00可领取大量金币福利","3","0","18","20","0","0","0","0","0","0","0","0","50","0","0","0","1","0","0"
"920003","2","0","920003","每日登陆","每日登陆，即可领取","5","1","0","0","0","0","0","0","0","0","0","0","0","50","0","0","1","5","0"
"920004","2","0","920004","勤能补拙","完成3场战斗","15","3","95","0","0","0","0","0","0","0","0","0","0","200","0","0","1","20","0"
"920005","2","0","920005","获得胜利","赢得两场PVP匹配对战","18","2","5","0","0","0","0","0","0","0","0","0","0","200","0","0","1","20","0"
"920006","2","0","920006","首胜","赢得一场PVP匹配对战","18","1","5","0","0","0","0","0","0","0","0","0","0","145","0","0","1","10","0"
"920007","2","0","920007","开黑","组队完成3场匹配战斗","15","3","21","2","0","0","0","0","0","0","0","0","0","200","0","0","1","20","0"
"920008","2","0","920004","每日混战","每天参与一场混战模式","15","1","24","0","0","0","0","0","0","0","0","0","0","130","0","0","1","10","0"
"920009","2","0","920009","勇往直前","PVP匹配战斗中完成30击杀","16","30","93","0","0","0","0","0","0","0","0","0","0","160","0","0","1","5","0"
"920010","2","0","920010","夺宝","完成1次夺宝","12","1","0","0","0","0","0","0","0","0","0","0","0","145","0","0","1","10","0"
"920011","2","0","920011","兵团贡献","兵团贡献达到300","11","300","0","0","0","0","0","0","0","0","0","0","0","145","0","0","1","10","0"
"920012","2","0","920012","消耗金币","消耗200金币","9","200","1","0","0","0","0","0","0","0","0","0","0","145","0","0","1","10","0"
"930011","3","0","920009","单场之星1","单场PVP匹配战斗中击败敌人5次","16","5","93","1","0","0","0","0","0","0","0","0","130","130","0","0","1","1","1"
"930012","3","0","920009","单场之星2","单场PVP匹配战斗中击败敌人10次","16","10","93","1","0","0","0","0","0","0","0","0","145","145","0","0","1","2","2"
"930013","3","0","920009","单场之星3","单场PVP匹配战斗中击败敌人15次","16","15","93","1","0","0","0","0","0","0","0","0","160","160","0","0","1","3","3"
"930014","3","0","920009","单场之星4","单场PVP匹配战斗中击败敌人20次","16","20","93","1","0","0","0","0","0","0","0","0","175","175","0","0","1","4","4"
"930015","3","0","920009","单场之星5","单场PVP匹配战斗中击败敌人25次","16","25","93","1","0","0","0","0","0","0","0","0","200","200","0","0","1","5","5"
"930021","3","0","920009","杀人如麻1","PVP匹配战斗，累计击败敌人10次","16","10","93","0","0","0","0","0","0","0","0","0","130","130","0","0","1","1","1"
"930022","3","0","920009","杀人如麻2","PVP匹配战斗，累计击败敌人20次","16","20","93","0","0","0","0","0","0","0","0","0","145","145","0","0","1","2","2"
"930023","3","0","920009","杀人如麻3","PVP匹配战斗，累计击败敌人30次","16","30","93","0","0","0","0","0","0","0","0","0","160","160","0","0","1","3","3"
"930024","3","0","920009","杀人如麻4","PVP匹配战斗，累计击败敌人40次","16","40","93","0","0","0","0","0","0","0","0","0","175","175","0","0","1","4","4"
"930025","3","0","920009","杀人如麻5","PVP匹配战斗，累计击败敌人50次","16","50","93","0","0","0","0","0","0","0","0","0","200","200","0","0","1","5","5"
"930031","3","0","930031","战术大师1","单场PVP匹配战斗，完成1次2连杀","17","1","93","2","0","0","0","0","0","0","0","0","160","160","0","0","1","3","3"
"930032","3","0","930031","战术大师2","单场PVP匹配战斗，完成1次4连杀","17","1","93","4","0","0","0","0","0","0","0","0","175","175","0","0","1","4","4"
"930033","3","0","930031","战术大师3","单场PVP匹配战斗，完成1次6连杀","17","1","93","6","0","0","0","0","0","0","0","0","200","200","0","0","1","5","5"
"930041","3","0","930031","登峰造极1","PVP匹配战斗中完成1次2杀","25","1","93","2","0","0","0","0","0","0","0","0","160","160","0","0","1","3","3"
"930042","3","0","930031","登峰造极2","PVP匹配战斗中完成1次3杀","25","1","93","3","0","0","0","0","0","0","0","0","175","175","0","0","1","4","4"
"930043","3","0","930031","登峰造极3","PVP匹配战斗中完成1次4杀","25","1","93","4","0","0","0","0","0","0","0","0","200","200","0","0","1","5","5"
"930051","3","0","930051","金榜题名1","至少获得1次前3名","26","1","24","3","0","0","0","0","0","0","0","0","160","160","0","0","1","3","3"
"930052","3","0","930051","金榜题名2","至少获得2次前3名","26","2","24","3","0","0","0","0","0","0","0","0","175","175","0","0","1","4","4"
"930053","3","0","930051","金榜题名3","至少获得3次前3名","26","3","24","3","0","0","0","0","0","0","0","0","200","200","0","0","1","5","5"
"930057","3","0","930051","王者冠军1","获得1次第1名","26","1","24","1","0","0","0","0","0","0","0","0","200","200","0","0","1","5","5"
"930061","3","0","930061","抛雷高手1","匹配战斗，累计使用2次高爆手雷","35","2","125","521000","0","0","0","0","0","0","0","0","130","130","0","0","1","1","1"
"930062","3","0","930061","抛雷高手2","匹配战斗，累计使用4次高爆手雷","35","4","125","521000","0","0","0","0","0","0","0","0","145","145","0","0","1","2","2"
"930063","3","0","930061","抛雷高手3","匹配战斗，累计使用6次高爆手雷","35","6","125","521000","0","0","0","0","0","0","0","0","160","160","0","0","1","3","3"
"930064","3","0","930061","抛雷高手4","匹配战斗，累计使用8次高爆手雷","35","8","125","521000","0","0","0","0","0","0","0","0","175","175","0","0","1","4","4"
"930065","3","0","930061","抛雷高手5","匹配战斗，累计使用10次高爆手雷","35","10","125","521000","0","0","0","0","0","0","0","0","200","200","0","0","1","5","5"
"930071","3","0","930061","闪瞎钛眼1","匹配战斗，累计使用2次闪光弹","35","2","125","521001","0","0","0","0","0","0","0","0","130","130","0","0","1","1","1"
"930072","3","0","930061","闪瞎钛眼2","匹配战斗，累计使用4次闪光弹","35","4","125","521001","0","0","0","0","0","0","0","0","145","145","0","0","1","2","2"
"930073","3","0","930061","闪瞎钛眼3","匹配战斗，累计使用6次闪光弹","35","6","125","521001","0","0","0","0","0","0","0","0","160","160","0","0","1","3","3"
"930074","3","0","930061","闪瞎钛眼4","匹配战斗，累计使用8次闪光弹","35","8","125","521001","0","0","0","0","0","0","0","0","175","175","0","0","1","4","4"
"930075","3","0","930061","闪瞎钛眼5","匹配战斗，累计使用10次闪光弹","35","10","125","521001","0","0","0","0","0","0","0","0","200","200","0","0","1","5","5"
"930081","3","0","930081","升级狂人1","单场战斗中等级达到3","34","3","24","0","0","0","0","0","0","0","0","0","130","130","0","0","1","1","1"
"930082","3","0","930081","升级狂人2","单场战斗中等级达到5","34","5","24","0","0","0","0","0","0","0","0","0","145","145","0","0","1","2","2"
"930083","3","0","930081","升级狂人3","单场战斗中等级达到8","34","8","24","0","0","0","0","0","0","0","0","0","160","160","0","0","1","3","3"
"930084","3","0","930081","升级狂人4","单场战斗中等级达到12","34","12","24","0","0","0","0","0","0","0","0","0","175","175","0","0","1","4","4"
"930085","3","0","930081","升级狂人5","单场战斗中等级达到16","34","16","24","0","0","0","0","0","0","0","0","0","200","200","0","0","1","5","5"
"930091","3","0","930091","不死之身1","PVP匹配战斗中最高存活时间达到30秒","28","30","93","0","0","0","0","0","0","0","0","0","130","130","0","0","1","1","1"
"930092","3","0","930091","不死之身2","PVP匹配战斗中最高存活时间达到45秒","28","45","93","0","0","0","0","0","0","0","0","0","145","145","0","0","1","2","2"
"930093","3","0","930091","不死之身3","PVP匹配战斗中最高存活时间达到60秒","28","60","93","0","0","0","0","0","0","0","0","0","160","160","0","0","1","3","3"
"930094","3","0","930091","不死之身4","PVP匹配战斗中最高存活时间达到75秒","28","75","93","0","0","0","0","0","0","0","0","0","175","175","0","0","1","4","4"
"930095","3","0","930091","不死之身5","PVP匹配战斗中最高存活时间达到90秒","28","90","93","0","0","0","0","0","0","0","0","0","200","200","0","0","1","5","5"
"930101","3","0","930031","输出狂魔1","单场PVP匹配战斗中，累计输出伤害达到1000","29","1000","93","1","0","0","0","0","0","0","0","0","130","130","0","0","1","1","1"
"930102","3","0","930031","输出狂魔2","单场PVP匹配战斗中，累计输出伤害达到2000","29","2000","93","1","0","0","0","0","0","0","0","0","145","145","0","0","1","2","2"
"930103","3","0","930031","输出狂魔3","单场PVP匹配战斗中，累计输出伤害达到3000","29","3000","93","1","0","0","0","0","0","0","0","0","160","160","0","0","1","3","3"
"930104","3","0","930031","输出狂魔4","单场PVP匹配战斗中，累计输出伤害达到4000","29","4000","93","1","0","0","0","0","0","0","0","0","175","175","0","0","1","4","4"
"930105","3","0","930031","输出狂魔5","单场PVP匹配战斗中，累计输出伤害达到6000","29","6000","93","1","0","0","0","0","0","0","0","0","200","200","0","0","1","5","5"
"930111","3","0","930111","移动堡垒1","单场PVP匹配战斗中，累计承受伤害达到1000","29","1000","93","2","0","0","0","0","0","0","0","0","130","130","0","0","1","1","1"
"930112","3","0","930111","移动堡垒2","单场PVP匹配战斗中，累计承受伤害达到2000","29","2000","93","2","0","0","0","0","0","0","0","0","145","145","0","0","1","2","2"
"930113","3","0","930111","移动堡垒3","单场PVP匹配战斗中，累计承受伤害达到3000","29","3000","93","2","0","0","0","0","0","0","0","0","160","160","0","0","1","3","3"
"930114","3","0","930111","移动堡垒4","单场PVP匹配战斗中，累计承受伤害达到4000","29","4000","93","2","0","0","0","0","0","0","0","0","175","175","0","0","1","4","4"
"930115","3","0","930111","移动堡垒5","单场PVP匹配战斗中，累计承受伤害达到6000","29","6000","93","2","0","0","0","0","0","0","0","0","200","200","0","0","1","5","5"
"930131","3","0","920009","冲锋能手1","非娱乐模式下，使用盖亚击败敌人5次","27","5","1","300000","0","0","0","0","0","0","0","0","130","130","0","0","1","1","1"
"930132","3","0","920009","冲锋能手2","非娱乐模式下，使用盖亚击败敌人10次","27","10","1","300000","0","0","0","0","0","0","0","0","145","145","0","0","1","2","2"
"930133","3","0","920009","冲锋能手3","非娱乐模式下，使用盖亚击败敌人15次","27","15","1","300000","0","0","0","0","0","0","0","0","160","160","0","0","1","3","3"
"930134","3","0","920009","冲锋能手4","非娱乐模式下，使用盖亚击败敌人20次","27","20","1","300000","0","0","0","0","0","0","0","0","175","175","0","0","1","4","4"
"930135","3","0","920009","冲锋能手5","非娱乐模式下，使用盖亚击败敌人25次","27","25","1","300000","0","0","0","0","0","0","0","0","200","200","0","0","1","5","5"
"930141","3","0","920009","爆破能手1","非娱乐模式下，使用凯瑟琳击败敌人5次","27","5","1","300006","0","0","0","0","0","0","0","0","130","130","0","0","1","1","1"
"930142","3","0","920009","爆破能手2","非娱乐模式下，使用凯瑟琳击败敌人10次","27","10","1","300006","0","0","0","0","0","0","0","0","145","145","0","0","1","2","2"
"930143","3","0","920009","爆破能手3","非娱乐模式下，使用凯瑟琳击败敌人15次","27","15","1","300006","0","0","0","0","0","0","0","0","160","160","0","0","1","3","3"
"930144","3","0","920009","爆破能手4","非娱乐模式下，使用凯瑟琳击败敌人20次","27","20","1","300006","0","0","0","0","0","0","0","0","175","175","0","0","1","4","4"
"930145","3","0","920009","爆破能手5","非娱乐模式下，使用凯瑟琳击败敌人25次","27","25","1","300006","0","0","0","0","0","0","0","0","200","200","0","0","1","5","5"
"930151","3","0","920009","狙击能手1","非娱乐模式下，使用琼恩击败敌人5次","27","5","1","300003","0","0","0","0","0","0","0","0","130","130","0","0","1","1","1"
"930152","3","0","920009","狙击能手2","非娱乐模式下，使用琼恩击败敌人10次","27","10","1","300003","0","0","0","0","0","0","0","0","145","145","0","0","1","2","2"
"930153","3","0","920009","狙击能手3","非娱乐模式下，使用琼恩击败敌人15次","27","15","1","300003","0","0","0","0","0","0","0","0","160","160","0","0","1","3","3"
"930154","3","0","920009","狙击能手4","非娱乐模式下，使用琼恩击败敌人20次","27","20","1","300003","0","0","0","0","0","0","0","0","175","175","0","0","1","4","4"
"930155","3","0","920009","狙击能手5","非娱乐模式下，使用琼恩击败敌人25次","27","25","1","300003","0","0","0","0","0","0","0","0","200","200","0","0","1","5","5"
"930161","3","0","920009","输出能手1","非娱乐模式下，使用塞西击败敌人5次","27","5","1","300002","0","0","0","0","0","0","0","0","130","130","0","0","1","1","1"
"930162","3","0","920009","输出能手2","非娱乐模式下，使用塞西击败敌人10次","27","10","1","300002","0","0","0","0","0","0","0","0","145","145","0","0","1","2","2"
"930163","3","0","920009","输出能手3","非娱乐模式下，使用塞西击败敌人15次","27","15","1","300002","0","0","0","0","0","0","0","0","160","160","0","0","1","3","3"
"930164","3","0","920009","输出能手4","非娱乐模式下，使用塞西击败敌人20次","27","20","1","300002","0","0","0","0","0","0","0","0","175","175","0","0","1","4","4"
"930165","3","0","920009","输出能手5","非娱乐模式下，使用塞西击败敌人25次","27","25","1","300002","0","0","0","0","0","0","0","0","200","200","0","0","1","5","5"
"930171","3","0","920009","机枪能手1","非娱乐模式下，使用西奥多击败敌人5次","27","5","1","300001","0","0","0","0","0","0","0","0","130","130","0","0","1","1","1"
"930172","3","0","920009","机枪能手2","非娱乐模式下，使用西奥多击败敌人10次","27","10","1","300001","0","0","0","0","0","0","0","0","145","145","0","0","1","2","2"
"930173","3","0","920009","机枪能手3","非娱乐模式下，使用西奥多击败敌人15次","27","15","1","300001","0","0","0","0","0","0","0","0","160","160","0","0","1","3","3"
"930174","3","0","920009","机枪能手4","非娱乐模式下，使用西奥多击败敌人20次","27","20","1","300001","0","0","0","0","0","0","0","0","175","175","0","0","1","4","4"
"930175","3","0","920009","机枪能手5","非娱乐模式下，使用西奥多击败敌人25次","27","25","1","300001","0","0","0","0","0","0","0","0","200","200","0","0","1","5","5"
"930181","3","0","920009","医疗能手1","非娱乐模式下，使用莉莉击败敌人5次","27","5","1","300004","0","0","0","0","0","0","0","0","130","130","0","0","1","1","1"
"930182","3","0","920009","医疗能手2","非娱乐模式下，使用莉莉击败敌人10次","27","10","1","300004","0","0","0","0","0","0","0","0","145","145","0","0","1","2","2"
"930183","3","0","920009","医疗能手3","非娱乐模式下，使用莉莉击败敌人15次","27","15","1","300004","0","0","0","0","0","0","0","0","160","160","0","0","1","3","3"
"930184","3","0","920009","医疗能手4","非娱乐模式下，使用莉莉击败敌人20次","27","20","1","300004","0","0","0","0","0","0","0","0","175","175","0","0","1","4","4"
"930185","3","0","920009","医疗能手5","非娱乐模式下，使用莉莉击败敌人25次","27","25","1","300004","0","0","0","0","0","0","0","0","200","200","0","0","1","5","5"
"930191","3","0","920009","剑刃能手1","非娱乐模式下，使用李龙击败敌人5次","27","5","1","300005","0","0","0","0","0","0","0","0","130","130","0","0","1","1","1"
"930192","3","0","920009","剑刃能手2","非娱乐模式下，使用李龙击败敌人10次","27","10","1","300005","0","0","0","0","0","0","0","0","145","145","0","0","1","2","2"
"930193","3","0","920009","剑刃能手3","非娱乐模式下，使用李龙击败敌人15次","27","15","1","300005","0","0","0","0","0","0","0","0","160","160","0","0","1","3","3"
"930194","3","0","920009","剑刃能手4","非娱乐模式下，使用李龙击败敌人20次","27","20","1","300005","0","0","0","0","0","0","0","0","175","175","0","0","1","4","4"
"930195","3","0","920009","剑刃能手5","非娱乐模式下，使用李龙击败敌人25次","27","25","1","300005","0","0","0","0","0","0","0","0","200","200","0","0","1","5","5"
"930201","3","0","920009","群攻能手1","非娱乐模式下，使用比尔击败敌人5次","27","5","1","300007","0","0","0","0","0","0","0","0","130","130","0","0","1","1","1"
"930202","3","0","920009","群攻能手2","非娱乐模式下，使用比尔击败敌人10次","27","10","1","300007","0","0","0","0","0","0","0","0","145","145","0","0","1","2","2"
"930203","3","0","920009","群攻能手3","非娱乐模式下，使用比尔击败敌人15次","27","15","1","300007","0","0","0","0","0","0","0","0","160","160","0","0","1","3","3"
"930204","3","0","920009","群攻能手4","非娱乐模式下，使用比尔击败敌人20次","27","20","1","300007","0","0","0","0","0","0","0","0","175","175","0","0","1","4","4"
"930205","3","0","920009","群攻能手5","非娱乐模式下，使用比尔击败敌人25次","27","25","1","300007","0","0","0","0","0","0","0","0","200","200","0","0","1","5","5"
"930211","3","0","920009","控场能手1","非娱乐模式下，使用埃米尔击败敌人5次","27","5","1","300008","0","0","0","0","0","0","0","0","130","130","0","0","1","1","1"
"930212","3","0","920009","控场能手2","非娱乐模式下，使用埃米尔击败敌人10次","27","10","1","300008","0","0","0","0","0","0","0","0","145","145","0","0","1","2","2"
"930213","3","0","920009","控场能手3","非娱乐模式下，使用埃米尔击败敌人15次","27","15","1","300008","0","0","0","0","0","0","0","0","160","160","0","0","1","3","3"
"930214","3","0","920009","控场能手4","非娱乐模式下，使用埃米尔击败敌人20次","27","20","1","300008","0","0","0","0","0","0","0","0","175","175","0","0","1","4","4"
"930215","3","0","920009","控场能手5","非娱乐模式下，使用埃米尔击败敌人25次","27","25","1","300008","0","0","0","0","0","0","0","0","200","200","0","0","1","5","5"
"930221","3","0","920004","战斗场次","完成3场PVP战斗","15","3","95","0","0","0","0","0","0","0","0","0","130","130","0","0","1","1","1"
"930231","3","0","920005","获得首胜","PVP匹配战斗中，胜利1场","18","1","69","0","0","0","0","0","0","0","0","0","130","130","0","0","1","1","1"
"930232","3","0","920005","连战连胜","PVP匹配战斗中，胜利2场","18","2","69","0","0","0","0","0","0","0","0","0","145","145","0","0","1","2","2"
"930241","3","0","920004","并肩作战1","和好友组队进行1场战斗","15","1","87","2","0","0","0","0","0","0","0","0","145","145","0","0","1","1","1"
"930242","3","0","920004","并肩作战2","和好友组队进行3场战斗","15","3","87","2","0","0","0","0","0","0","0","0","160","160","0","0","1","3","3"
"930251","3","0","930061","烈火燃烧1","匹配战斗，累计使用2次燃烧弹","35","2","125","521002","0","0","0","0","0","0","0","0","130","130","0","0","1","1","1"
"930252","3","0","930061","烈火燃烧2","匹配战斗，累计使用4次燃烧弹","35","4","125","521002","0","0","0","0","0","0","0","0","145","145","0","0","1","2","2"
"930253","3","0","930061","烈火燃烧3","匹配战斗，累计使用6次燃烧弹","35","6","125","521002","0","0","0","0","0","0","0","0","160","160","0","0","1","3","3"
"930254","3","0","930061","烈火燃烧4","匹配战斗，累计使用8次燃烧弹","35","8","125","521002","0","0","0","0","0","0","0","0","175","175","0","0","1","4","4"
"930255","3","0","930061","烈火燃烧5","匹配战斗，累计使用10次燃烧弹","35","10","125","521002","0","0","0","0","0","0","0","0","200","200","0","0","1","5","5"
"930261","3","0","920009","收割能手1","非娱乐模式下，使用迪亚比击败敌人5次","27","5","1","300009","0","0","0","0","0","0","0","0","130","130","0","0","1","1","1"
"930262","3","0","920009","收割能手2","非娱乐模式下，使用迪亚比击败敌人10次","27","10","1","300009","0","0","0","0","0","0","0","0","145","145","0","0","1","2","2"
"930263","3","0","920009","收割能手3","非娱乐模式下，使用迪亚比击败敌人15次","27","15","1","300009","0","0","0","0","0","0","0","0","160","160","0","0","1","3","3"
