$id,name,intro
201001,Gaia,Use to get a 1 day free trial of Gaia or get 5 diamonds if you already have the hero.
201002,Gaia,Use to get a 3 days free trial of Gaia or get 15 diamonds if you already have the hero.
201003,Gaia,Use to get a 7 days free trial of Gaia or get 30 diamonds if you already have the hero.
201011,Theodor,Use to get a 1 day free trial of Theodor or get 5 diamonds if you already have the hero.
201012,Theodor,Use to get a 3 days free trial of Theodor or get 15 diamonds if you already have the hero.
201013,Theodor,Use to get a 7 days free trial of Theodor or get 30 diamonds if you already have the hero.
201021,Saisi,Use to get a 1 day free trial of Saisi or get 5 diamonds if you already have the hero.
201022,Saisi,Use to get a 3 days free trial of Saisi or get 15 diamonds if you already have the hero.
201023,Saisi,Use to get a 7 days free trial of Saisi or get 30 diamonds if you already have the hero.
201031,Joan,Use to get a 1 day free trial of Joan or get 5 diamonds if you already have the hero.
201032,Joan,Use to get a 3 days free trial of Joan or get 15 diamonds if you already have the hero.
201033,Joan,Use to get a 7 days free trial of Joan or get 30 diamonds if you already have the hero.
201041,Fox,Use to get a 1 day free trial of Fox or get 5 diamonds if you already have the hero.
201042,Fox,Use to get a 3 days free trial of Fox or get 15 diamonds if you already have the hero.
201043,Fox,Use to get a 7 days free trial of Fox or get 30 diamonds if you already have the hero.
201051,Li Long,Use to get a 1 day free trial of Li Long or get 5 diamonds if you already have the hero.
201052,Li Long,Use to get a 3 days free trial of Li Long or get 15 diamonds if you already have the hero.
201053,Li Long,Use to get a 7 days free trial of Li Long or get 30 diamonds if you already have the hero.
201061,Catherine,Use to get a 1 day free trial of Catherine or get 5 diamonds if you already have the hero.
201062,Catherine,Use to get a 3 days free trial of Catherine or get 15 diamonds if you already have the hero.
201063,Catherine,Use to get a 7 days free trial of Catherine or get 30 diamonds if you already have the hero.
201071,Logan,Use to get a 1 day free trial of Logan or get 5 diamonds if you already have the hero.
201072,Logan,Use to get a 3 days free trial of Logan or get 15 diamonds if you already have the hero.
201073,Logan,Use to get a 7 days free trial of Logan or get 30 diamonds if you already have the hero.
201081,Amir,Use to get a 1 day free trial of Amir or get 5 diamonds if you already have the hero.
201082,Amir,Use to get a 3 days free trial of Amir or get 15 diamonds if you already have the hero.
201083,Amir,Use to get a 7 days free trial of Amir or get 30 diamonds if you already have the hero.
201091,Goro,Use to get a 1 day free trial of Goro or get 5 diamonds if you already have the hero.
201092,Goro,Use to get a 3 days free trial of Goro or get 15 diamonds if you already have the hero.
201093,Goro,Use to get a 7 days free trial of Goro or get 30 diamonds if you already have the hero.
201101,FireKing,Use to get a 1 day free trial of FireKing or get 5 diamonds if you already have the hero.
201102,FireKing,Use to get a 3 days free trial of FireKing or get 15 diamonds if you already have the hero.
201103,FireKing,Use to get a 7 days free trial of FireKing or get 30 diamonds if you already have the hero.
201111,Nasha,Use to get a 1 day free trial of Nasha or get 5 diamonds if you already have the hero.
201112,Nasha,Use to get a 3 days free trial of Nasha or get 15 diamonds if you already have the hero.
201113,Nasha,Use to get a 7 days free trial of Nasha or get 30 diamonds if you already have the hero.
202001,Interstellar Knight,Use to get a 1 day free trial of Interstellar Knight skin or get 5 diamonds if you already have the skin.
202002,Interstellar Knight,Use to get a 3 days free trial of Interstellar Knight skin or get 15 diamonds if you already have the skin.
202003,Interstellar Knight,Use to get a 7 days free trial of Interstellar Knight skin or get 30 diamonds if you already have the skin.
202011,Modern Armor,Use to get a 1 day free trial of Modern Armor skin or get 5 diamonds if you already have the skin.
202012,Modern Armor,Use to get a 3 days free trial of Modern Armor skin or get 15 diamonds if you already have the skin.
202013,Modern Armor,Use to get a 7 days free trial of Modern Armor skin or get 30 diamonds if you already have the skin.
202021,Renegade,Use to get a 1 day free trial of Renegade skin or get 5 diamonds if you already have the skin.
202022,Renegade,Use to get a 3 days free trial of Renegade skin or get 15 diamonds if you already have the skin.
202023,Renegade,Use to get a 7 days free trial of Renegade skin or get 30 diamonds if you already have the skin.
202031,Ghost,Use to get a 1 day free trial of Ghost skin or get 5 diamonds if you already have the skin.
202032,Ghost,Use to get a 3 days free trial of Ghost skin or get 15 diamonds if you already have the skin.
202033,Ghost,Use to get a 7 days free trial of Ghost skin or get 30 diamonds if you already have the skin.
202041,Nurse,Use to get a 1 day free trial of Nurse skin or get 5 diamonds if you already have the skin.
202042,Nurse,Use to get a 3 days free trial of Nurse skin or get 15 diamonds if you already have the skin.
202043,Nurse,Use to get a 7 days free trial of Nurse skin or get 30 diamonds if you already have the skin.
202051,Imperial Guard,Use to get a 1 day free trial of Imperial Guard skin or get 5 diamonds if you already have the skin.
202052,Imperial Guard,Use to get a 3 days free trial of Imperial Guard skin or get 15 diamonds if you already have the skin.
