$id,title,word_para
1002,Deathmatch,"1. Deathmatch is a mode where 12 people engage in a free-for-all and everyone is an enemy. 
2. Every round of Deathmatch lasts 10 minutes. Once it ends, players will be ranked on their Battle Score. The higher their rank, the better the rewards. 
3. Battle Scores are increased through kills and grabbing EXP Badges. Players who get more kills will earn a higher Battle Score. 
4. Kill enemies and grab EXP Badges to increase your Battle Score. Every time you increase it 3 levels, you'll get to choose a Talent. 
5. After the battle has gone on for 5 minutes, a power vehicle will randomly appear on the map - the Mech. 
6. If the player's hero dies, they will receive a punishment: Some EXP and Battle Score will be deducted."
1003,Newbie Area,"1. Auto-aiming available in this mode. Tap the right joystick to aim at the opponent automatically.
2. Every round of Deathmatch lasts 10 minutes. Once it ends, players will be ranked on their Battle Score. The higher their rank, the better the rewards. 
3. Battle Scores are increased through kills and grabbing EXP Badges. Players who get more kills will earn a higher Battle Score. 
4. Kill enemies and grab EXP Badges to increase your Battle Score. Every time you increase it 3 levels, you'll get to choose a Talent. 
5. After the battle has gone on for 5 minutes, a power vehicle will randomly appear on the map - the Mech. 
6. If the player's hero dies, they will receive a punishment: Some EXP and Battle Score will be deducted.
7. The rewards in this mode is halved compare to normal Deathmatch."
1004,Team Mode,"1. Team Mode is a 5v5 battle. Two teams go head-to-head and each team has 5 members. 
2. Victory Condition: Team Kills reach 50. 
3. In this mode, the same hero can only be chosen a maximum of 2 times for the same camp."
1005,Burst Mode,"1. There are 2 camps named Dawn of Darkness and Hand of God.
2. The Dawn of Darkness will win the game after achieving any of the following requirements.
- Kill all opponents;
- C4 explodes.
3. The Hand of God will win the game after achieving any of the following requirements.
- Kill all opponents;
- C4 didn't explode before the battle ends;
- C4 defused;
4. If you die, you're won't be revived until next round.
5. C4 will drop if the carrier dies, and it can be picked up by other teammates.
6. Best of five sets.
7. The same hero can not be chosen more than 2 times in a same camp."
1006,Control Mode,"1. The target for control mode battle is to control and collect enough resources to win the battle.
2. The players will be separated to Red and Blue camp.
3. There are 2 kinds of resources: one-time resource and fixed resource. One-time resource provides certain resource points and will disappear once it's occupied. Resources will refresh randomly on the map. Fixed resources provide continuous resource points after being occupied.
4. How to occupy resource: get into the effective area of the resource, and you will get the resource for your camp automatically. The speed of occupying resource depends one the number of players in a same camp involved in the effective area.
5. If the progress bar reaches the end, then the camp with the same color as the end point will own the resource.
6. The fixed resource may be seized by other camp after being occupied, so you got to protect it.
7. The camp that collects 8000 resource points first wins the battle.
8.  The same hero can not be chosen more than 2 times in a same camp."
1007,Boss Rules,"1. Boss Mode involves a 5-person team battling a giant monster. 
2. This mode lasts for 10 minutes. If the boss is killed in time, the battle will be won. 
3. If the team can't kill the boss within 10 minutes, the battle will be lost. 
4. If you die in Boss mode you can respawn an unlimited number of times, but every respawn will extend the waiting time for the next one. 
5. After the boss is killed, different scores will be assigned based on output, deaths and battle time. The higher the score, the greater the rewards."
1008,Team Deathmatch,"1. For Team Deathmatch, 4 teams battle each other. There are 4 teams of 3 people each. 
2. Every round of Team Chaos Battle lasts 10 minutes. Once it ends, players will be ranked on their Battle Score. The higher their rank, the better the rewards. 
3. Battle Scores are increased through kills and grabbing EXP Badges. Players who get more kills will earn a higher Battle Score. 
4. Kill enemies and grab EXP Badges to increase your Battle Score. Every time you increase it 3 levels, you'll get to choose a Talent. 
5. After the battle has gone on for 5 minutes, a power vehicle will randomly appear on the map - the Mech. 
6. If the player's hero dies, they will receive a punishment: Some EXP and Battle Score will be deducted."
2001,Sniper Deathmatch (TEAM),"1. Only Joan, Fox and Nasha are available in this mode.
2. Team Battle mode. Map: Ancient Ruins. First team to 50 kills wins."
2002,Sniper Deathmatch (SOLO),"1. Only Joan, Fox and Nasha are available in this mode.
2. Deathmatch mode. Map: Military Base."
2003,Skill Master,"1. Only Li Long and Goro are available in this mode.
2. The DMG of normal attack will be reduced, and skill DMG will be increased. Cooldown of skills will be shortened.
3. Deathmatch mode. Map: CV – Rear"
