$skill_id,$lv,name,intro,intro2
500000,1,近战,,
500001,1,Bullet Spray,"Gaia wildly swings his weapon, spraying a large area with bullets. While shooting, the direction can be controlled.","[DD9B0F] Sprays bullets in a cone, dealing 40 damage. [-]"
500001,2,Bullet Spray,"Gaia wildly swings his weapon, spraying a large area with bullets. While shooting, the direction can be controlled.","[DD9B0F] Sprays bullets in a cone, dealing 48 damage. [-]"
500001,3,Bullet Spray,"Gaia wildly swings his weapon, spraying a large area with bullets. While shooting, the direction can be controlled.","[DD9B0F] Sprays bullets in a cone, dealing 56 damage. [-]"
500001,4,Bullet Spray,"Gaia wildly swings his weapon, spraying a large area with bullets. While shooting, the direction can be controlled.","[DD9B0F] Spray bullets in a cone, dealing 64 damage. [-]"
500002,1,Instant Shield,"Plant a device that generates shields, intermittently giving shields to targets in range",[DD9B0F]Give teammates in range a shield that can absorb up to 176 damage[-]
500002,2,Instant Shield,"Plant a device that generates shields, intermittently giving shields to targets in range",[DD9B0F]Give teammates in range a shield that can absorb up to 210 damage[-]
500002,3,Instant Shield,"Plant a device that generates shields, intermittently giving shields to targets in range",[DD9B0F]Give teammates in range a shield that can absorb up to 244 damage[-]
500002,4,Instant Shield,"Plant a device that generates shields, intermittently giving shields to targets in range",[DD9B0F]Give teammates in range a shield that can absorb up to 278 damage[-]
500003,1,Adrenaline,"When attacked by an enemy, there is a chance of increasing movement speed",[DD9B0F]Increase movement speed by 5% for 3 seconds[-]
500003,2,Adrenaline,"When attacked by an enemy, there is a chance of increasing movement speed",[DD9B0F]Increase movement speed by 10% for 3 seconds[-]
500003,3,Adrenaline,"When attacked by an enemy, there is a chance of increasing movement speed",[DD9B0F]Increase movement speed by 15% for 3 seconds[-]
500003,4,Adrenaline,"When attacked by an enemy, there is a chance of increasing movement speed",[DD9B0F]Increase movement speed by 20% for 3 seconds[-]
500004,1,Combat Roll,Rapidly roll forward,[DD9B0F]Roll directly ahead for 7 meters.[-]
500004,2,Combat Roll,Rapidly roll forward,[DD9B0F]Roll directly ahead for 7 meters.[-]
500004,3,Combat Roll,Rapidly roll forward,[DD9B0F]Roll directly ahead for 7 meters.[-]
500004,4,Combat Roll,Rapidly roll forward,[DD9B0F]Roll directly ahead for 7 meters.[-]
500005,1,Instant Shield,,
500005,2,Instant Shield,,
500005,3,Instant Shield,,
500005,4,Instant Shield,,
500101,1,Bioshield,"Theodor opens a protective shield, greatly increasing his defense. Using this skill again will explode the shield, dealing damage to nearby enemies and stunning them.",[DD9B0F]Increase Theodor's defense by 200. Explosion deals 165 AOE damage and stuns enemy for 1 second [-]
500101,2,Bioshield,"Theodor opens a protective shield, greatly increasing his defense. Using this skill again will explode the shield, dealing damage to nearby enemies and stunning them.",[DD9B0F]Increase Theodor's defense by 240. Explosion deals 205 AOE damage and stuns enemy for 1 second [-]
500101,3,Bioshield,"Theodor opens a protective shield, greatly increasing his defense. Using this skill again will explode the shield, dealing damage to nearby enemies and stunning them.",[DD9B0F]Increase Theodor's defense by 280. Explosion deals 245 AOE damage and stuns enemy for 1 second [-]
500101,4,Bioshield,"Theodor opens a protective shield, greatly increasing his defense. Using this skill again will explode the shield, dealing damage to nearby enemies and stunning them.",[DD9B0F]Increase Theodor's defense by 320. Explosion deals 285 AOE damage and stuns enemy for 1 second [-]
500102,1,Defensive Wall,"Theodor builds a protective wall in front of him, blocking enemy advance and attacks",[DD9B0F]Builds a wall in front of him. Can block enemy attacks.[-]
500102,2,Defensive Wall,"Theodor builds a protective wall in front of him, blocking enemy advance and attacks",[DD9B0F]Builds a wall in front of him. Can block enemy attacks.[-]
500102,3,Defensive Wall,"Theodor builds a protective wall in front of him, blocking enemy advance and attacks",[DD9B0F]Builds a wall in front of him. Can block enemy attacks.[-]
